University,Age,Sex,Year_of_Study,Department_Name,MEQ,Trait_Anxiety,Start_time,PSQI_component_1,Avg_Weekly_Sleep_Duration,Avg_Sleep_Working_days,Avg_sleep_free_days,Daytime_Dozing,Cigarettes_dichotomous,Alcohol_dichotomous,Caffeine_dichotomous,coffee_dichotomous,psqi_2_groups
1,19,2,2,Psychology,15,30,12:00,1,6.42,5.17,9.57,4,1,1,1,1,1
1,18,2,1,Psychology,13,50,10:00,2,8.46,8.25,9.0,6,1,2,1,1,2
1,19,2,2,Psychology,21,32,09:00,1,6.81,7.67,5.67,2,1,1,1,2,1
1,19,2,1,Psychology,9,53,11:00,1,8.61,6.0,12.08,6,2,1,1,2,1
1,19,2,2,Psychology,17,39,10:00,1,7.88,7.33,9.25,9,1,2,1,2,1
1,18,2,1,Psychology,5,60,11:00,2,7.42,5.98,11.0,8,1,1,2,2,2
1,19,2,1,Psychology,8,70,11:00,2,6.56,5.32,7.5,4,1,2,1,2,2
1,19,2,1,Psychology,8,43,10:00,2,5.71,5.98,5.5,7,1,1,1,2,2
1,19,2,2,Psychology,16,39,09:00,0,9.57,8.5,10.0,2,1,1,1,2,1
1,19,2,2,Psychology,11,61,11:00,2,6.49,6.17,8.42,10,1,1,1,2,2
1,19,2,2,Psychology,7,55,10:00,2,10.33,8.33,11.83,7,1,1,1,2,2
1,19,2,2,Psychology,13,42,10:00,2,6.64,6.5,6.98,8,1,2,1,2,2
1,20,2,2,Psychology,14,65,11:00,1,6.73,6.33,7.25,5,1,1,1,1,1
1,21,2,1,Psychology,15,53,10:00,2,7.9,6.33,9.08,6,1,2,1,2,2
1,18,2,1,Psychology,19,37,09:00,1,8.0,8.0,8.0,3,1,1,2,2,1
1,18,2,1,Psychology,11,41,12:00,1,8.43,9.0,8.0,21,1,1,2,2,1
1,24,2,2,Psychology,19,44,10:00,1,8.04,7.5,8.75,11,1,2,1,2,1
1,18,1,1,Psychology,6,57,11:00,2,5.49,4.73,6.5,5,1,1,1,2,2
1,19,2,2,Psychology,14,41,10:00,1,7.25,8.0,6.25,5,1,1,1,2,1
1,18,2,1,Psychology,14,58,10:00,1,8.18,8.42,8.0,6,1,1,1,2,1
1,19,1,1,Psychology,7,56,10:00,2,7.0,7.0,7.0,1,1,1,2,2,2
1,20,2,2,Psychology,8,62,11:00,2,10.3,8.33,11.08,9,2,1,1,2,2
1,18,2,1,Psychology,9,56,10:00,1,7.74,7.5,7.83,11,1,2,2,2,1
1,40,2,2,Psychology,15,25,10:00,1,6.01,5.08,7.25,2,1,1,1,2,1
1,19,2,2,Psychology,12,45,09:00,1,7.79,6.58,9.4,12,1,1,1,2,1
1,20,2,2,Psychology,13,29,12:00,2,7.21,5.83,8.25,6,1,1,2,2,2
1,19,2,2,Psychology,9,70,11:00,1,6.92,6.17,11.42,8,1,2,1,2,1
1,19,2,1,Psychology,11,55,10:00,2,7.1,5.92,8.67,4,1,1,1,2,2
1,19,2,2,Psychology,8,59,13:00,2,7.64,7.33,8.42,11,1,2,1,2,2
1,19,2,2,Psychology,6,75,14:00,1,7.9,7.83,8.07,18,1,2,1,2,1
1,18,2,1,Psychology,9,51,11:00,1,7.58,5.92,8.83,2,1,1,2,2,1
1,18,2,1,Psychology,14,51,11:00,1,7.99,8.08,7.92,3,1,1,1,2,1
1,18,2,1,Psychology,13,46,10:00,1,6.12,5.67,7.25,7,1,1,1,2,1
1,19,2,1,Psychology,10,52,11:00,3,7.24,6.67,7.67,10,1,1,1,2,2
1,18,2,1,Psychology,13,44,10:00,1,7.61,6.5,9.08,4,1,2,1,2,1
1,18,2,1,Psychology,13,40,11:00,2,5.64,5.0,6.5,5,1,2,2,2,2
1,20,2,1,Psychology,14,61,10:00,1,5.41,4.48,7.73,3,1,2,2,2,1
1,20,2,2,Psychology,12,45,11:00,1,6.64,6.5,7.5,10,1,2,2,2,1
1,19,2,1,Psychology,10,64,13:00,3,7.26,4.83,10.5,12,1,1,2,2,2
1,19,2,2,Psychology,8,62,12:00,2,6.23,5.08,9.08,9,1,2,2,2,2
1,18,2,1,Psychology,14,59,11:00,1,8.79,7.0,13.25,8,1,2,1,2,1
1,20,2,1,Psychology,13,51,13:00,2,8.5,8.5,8.5,6,1,1,1,2,2
1,19,2,2,Psychology,9,53,10:00,1,7.23,6.33,9.48,7,1,1,2,2,1
1,19,2,1,Psychology,13,36,10:00,2,9.3,7.33,11.92,9,1,1,2,2,2
1,18,2,1,Psychology,15,34,11:00,2,7.08,6.33,8.08,8,1,2,1,2,2
1,18,2,1,Psychology,15,42,09:00,2,9.15,7.25,9.92,5,1,1,1,1,2
1,20,2,2,Psychology,9,48,11:00,1,6.75,4.32,8.57,23,1,1,2,2,1
1,20,2,2,Psychology,15,78,09:00,2,9.17,10.83,7.92,8,1,1,2,1,2
1,22,2,3,Psychology,11,50,10:00,1,9.71,8.75,11.0,16,1,2,1,2,1
1,18,2,1,Psychology,11,51,11:00,2,6.43,5.0,7.5,7,1,1,2,2,2
1,19,2,2,Psychology,11,50,10:00,1,7.52,7.0,8.82,12,2,2,1,2,1
1,20,2,2,Psychology,7,39,11:00,1,7.28,4.98,9.0,12,1,2,1,2,1
1,20,2,1,Psychology,7,62,10:00,1,8.08,4.98,10.4,7,1,1,2,2,1
1,19,2,1,Psychology,8,64,10:00,1,7.63,5.83,8.98,5,1,1,1,2,1
1,20,2,1,Psychology,11,42,14:00,2,8.43,6.5,11.0,6,2,2,2,2,2
1,19,1,1,Psychology,10,40,11:00,0,6.67,6.67,6.67,11,1,2,2,2,1
1,29,1,2,Psychology,8,49,10:00,1,7.45,5.5,8.92,2,1,1,2,2,1
1,23,2,2,Psychology,10,62,11:00,2,6.38,5.73,7.98,13,1,2,1,2,2
1,19,2,2,Psychology,13,28,11:00,0,8.23,7.25,10.67,0,1,1,1,2,1
1,21,2,2,Psychology,12,33,10:00,1,8.02,7.83,8.48,5,1,1,1,2,1
1,21,2,2,Psychology,12,43,15:00,1,6.85,5.67,8.42,2,1,2,1,2,1
1,19,2,2,Psychology,14,44,10:00,1,6.7,7.92,6.5,0,1,1,1,2,1
1,19,2,2,Psychology,14,48,11:00,1,6.69,6.5,7.17,11,1,2,2,2,1
1,20,2,2,Psychology,13,42,11:00,1,7.07,6.33,8.92,9,1,2,1,2,1
1,18,2,1,Psychology,18,44,10:00,1,8.57,8.67,8.0,7,1,1,1,2,1
1,47,2,2,Psychology,17,25,09:00,1,6.42,6.17,7.92,7,1,2,1,2,1
1,21,2,2,Psychology,14,30,09:00,2,8.81,8.67,9.17,8,2,2,1,2,2
1,18,2,1,Psychology,14,39,09:00,1,8.25,8.5,7.92,4,1,2,2,2,1
1,20,2,2,Psychology,9,44,11:00,2,8.79,8.25,9.5,14,1,1,2,2,2
1,22,2,3,Psychology,10,34,11:00,1,9.65,7.75,11.08,9,2,2,1,1,1
1,19,2,2,Psychology,15,53,09:00,1,7.62,7.0,9.17,5,1,1,2,2,1
1,30,2,2,Psychology,12,37,10:00,1,7.45,7.17,9.17,10,1,1,1,1,1
1,20,2,2,Psychology,16,49,10:00,1,8.0,8.0,8.0,1,1,2,1,2,1
1,19,2,2,Psychology,16,49,10:00,3,7.67,7.0,8.57,4,1,2,1,2,2
1,20,2,2,Psychology,8,61,10:00,2,7.93,7.5,8.25,15,1,2,2,1,2
1,20,2,1,Psychology,11,42,10:00,2,8.08,7.33,9.08,2,1,1,1,2,2
1,19,2,2,Psychology,5,46,11:00,3,8.14,9.0,6.0,4,1,2,2,2,2
1,19,1,2,Psychology,15,39,10:00,1,6.77,6.67,7.4,5,1,2,2,2,1
1,19,2,1,Psychology,9,48,11:00,1,8.41,5.42,10.65,16,1,2,1,2,1
1,18,1,1,Psychology,6,45,11:00,3,8.28,7.98,8.5,21,1,2,2,2,2
1,19,2,2,Psychology,20,61,09:00,3,8.89,9.08,7.75,1,1,1,1,2,2
1,18,2,1,Psychology,12,61,11:00,1,9.95,9.33,10.42,11,1,2,2,2,1
1,20,2,2,Psychology,11,44,11:00,1,6.26,5.92,8.32,8,1,1,2,2,1
1,20,2,2,Psychology,16,41,10:00,1,8.51,7.83,9.42,5,1,2,1,2,1
1,20,2,2,Psychology,16,54,09:00,1,7.12,7.17,7.08,3,1,1,1,1,1
1,20,2,2,Psychology,15,47,10:00,1,6.88,6.17,7.83,6,1,2,1,1,1
1,22,2,2,Psychology,11,41,10:00,3,5.25,4.5,5.82,11,1,1,2,2,2
1,29,2,1,Psychology,14,52,09:00,2,7.32,6.75,8.75,5,2,2,2,2,2
1,18,2,1,Psychology,15,61,11:00,1,8.2,7.67,8.92,7,1,2,1,2,1
